Frq;Ch1Mag;Ch2Mag;Ch2Phase
10.00000000000001;-0.01964601557421096;-37.96848288475307;89.21906710720145
10.06931668851806;-0.0197495989735753;-37.9038623836181;89.24014186172741
10.1391138573668;-0.01986820215572152;-37.83549920158711;89.22282464273593
10.20939483707681;-0.01979098222244458;-37.77475468607139;89.18430737542258
10.28016298126474;-0.01982029522612123;-37.71597589871272;89.24330404611833
10.35142166679345;-0.01973321416964457;-37.6591123922876;89.20070187050915
10.42317429393305;-0.01995177968944357;-37.59177132836235;89.24327841385485
10.49542428652323;-0.01981325615522781;-37.54461234870301;89.19241978169279
10.5681750921366;-0.01997461859721583;-37.47547064188918;89.18854236723281
10.64143018224317;-0.02001445420640689;-37.41901047052617;89.19461917592946
10.71519305237607;-0.01984900330967854;-37.36020373890214;89.15843661852503
10.7894672222983;-0.02015679505611135;-37.30358760647046;89.18148268886225
10.86425623617067;-0.02015502915592115;-37.25007779223797;89.20832823100596
10.93956366272095;-0.01995472785160146;-37.18782164485953;89.10825124022006
11.01539309541416;-0.01996809067810952;-37.12127779462504;89.17047884866834
11.09174815262402;-0.0190956551384919;-37.06187177464304;89.14401354596885
11.16863247780562;-0.02001338723767176;-37.00909952537006;89.12375617433628
11.24604973966928;-0.0198968559625261;-36.94046552617937;89.08400875786083
11.32400363235558;-0.01998381348636942;-36.88253728073734;89.17073626221361
11.4024978756117;-0.01969212175964713;-36.83165038789959;89.19461557781034
11.48153621496884;-0.01984494018525028;-36.76167672962274;89.20500877068307
11.56112242192101;-0.01987511562052774;-36.69994235366001;89.14166705448085
11.64126029410492;-0.01977390858907807;-36.64334766670522;89.09877622976256
11.72195365548131;-0.01982402062479241;-36.58555455166393;89.09031646243238
11.80320635651731;-0.01993958547608425;-36.534633229055;89.13368783711533
11.8850222743702;-0.01976647326312236;-36.47470466021709;89.06959218052972
11.96740531307244;-0.01991147774653061;-36.41100422882943;89.11908186592012
12.05035940371799;-0.02011411973764332;-36.34657921758269;89.08499178022124
12.13388850464979;-0.01997577225164299;-36.28417125406973;89.05450145255269
12.21799660164874;-0.01992401458960803;-36.23545364670348;89.06482631411501
12.30268770812382;-0.02000789332273062;-36.1684050393322;89.1186457909379
12.3879658653037;-0.01983551875212824;-36.10992011008667;89.08154646803688
12.47383514242945;-0.02001894449605177;-36.04563680427086;88.99983724222004
12.56029963694877;-0.02020877034903643;-35.99210741431564;89.05452607689205
12.64736347471152;-0.02010416683729515;-35.93010692649585;89.00689795330032
12.73503081016663;-0.01999936439845886;-35.86703078989872;89.00609047428111
12.82330582656023;-0.02010683145748633;-35.81369427219937;89.02198265565573
12.91219273613536;-0.02015113116939631;-35.748486675637;89.04235464936335
13.00169578033291;-0.02007903418684656;-35.6892672098753;89.01060645529199
13.09181922999408;-0.02008293043572381;-35.62887538877114;89.0371182606978
13.18256738556409;-0.0200685464290395;-35.58042879789271;89.05591070312687
13.27394457729741;-0.01999064626768954;-35.5101413492754;88.98263802833756
13.36595516546443;-0.02010905885750269;-35.45285541695107;88.98412694566348
13.4586035405595;-0.02021246290033598;-35.39324247664275;88.98920413441417
13.55189412351038;-0.01990125102851098;-35.33658853246767;89.02006473700305
13.64583136588927;-0.02012158950009994;-35.27621066019339;88.99206338421716
13.74041975012516;-0.02009776036062446;-35.21239854746347;88.97349943077086
13.83566378971783;-0.01970010664381764;-35.15856964851424;88.97520606268441
13.93156802945305;-0.01971840157984316;-35.09675911223268;89.02018477026434
14.0281370456196;-0.0197594588228571;-35.0365236799834;88.95935283743735
14.12537544622755;-0.0198861024701665;-34.97230807443243;88.95840761856743
14.22328787122821;-0.01989794099972689;-34.91415715744181;88.91756267727773
14.32187899273545;-0.01970229028987525;-34.85373560578862;88.91321928738256
14.42115351524871;-0.01973856179107389;-34.79600085058995;88.89313698788044
14.52111617587743;-0.01980371807177455;-34.73211747148969;88.89613187719948
14.6217717445672;-0.01972090032919994;-34.67115711882877;88.86422249504886
14.72312502432721;-0.01988626891724772;-34.61591183763397;88.87147243058422
14.82518085145956;-0.01982965673428864;-34.55168051211239;88.90421192444344
14.92794409578998;-0.01981236166452346;-34.49951597255458;88.9023770601255
15.03141966090022;-0.01984835626816503;-34.43773052202724;88.85582036261667
15.1356124843621;-0.0198177941617988;-34.37652079841234;88.85238652311753
15.24052753797292;-0.01989631264811243;-34.31526409013311;88.86855706655466
15.34616982799296;-0.01993269127329204;-34.25754440088077;88.85179683744749
15.45254439538414;-0.02007259268912037;-34.1955705173139;88.83207593049752
15.55965631605077;-0.01963931138126278;-34.14159480410613;88.84424115274686
15.6675107010815;-0.01977862219936816;-34.08599718025332;88.80608012093187
15.7761126969935;-0.01978088091433688;-34.02022238464327;88.82945598989615
15.88546748597779;-0.01965362630424507;-33.95798657271064;88.81493312882367
15.99558028614671;-0.01969161232950164;-33.90195244610605;88.78628936768504
16.10645635178271;-0.019902827456596;-33.83868451843152;88.81121592591288
16.21810097358932;-0.01987916512586874;-33.77527392159818;88.74958108648133
16.33051947894334;-0.01970967467832165;-33.72264267696443;88.77788913630803
16.44371723214933;-0.01974786247037609;-33.65323945802912;88.74905221707098
16.55769963469529;-0.01979813605005532;-33.59751434728733;88.76130823341953
16.67247212551064;-0.01968119439673435;-33.53610780493324;88.72930728068121
16.78804018122561;-0.01964952036962053;-33.47329033859361;88.77325405181264
16.90440931643265;-0.01979378978288409;-33.4111886350487;88.72541511961896
17.02158508394952;-0.01983495644433663;-33.35695289521378;88.70796062878114
17.13957307508427;-0.01988842665770705;-33.29238879751404;88.73507795993038
