Frq;Ch1Mag;Ch2Mag;Ch2Phase
10.00000000000001;-0.01796746748819236;-0.002082458026166651;-0.7222444843027631
10.06931668851806;-0.01806123237728873;-0.0018406436192141;-0.7255407632486452
10.1391138573668;-0.01826504616661001;-0.001622793543118552;-0.7314448771062985
10.20939483707681;-0.01783132890209542;-0.001685018355947458;-0.7371053511474912
10.28016298126474;-0.0182049704658701;-0.001468572656257222;-0.7424677648943643
10.35142166679345;-0.01817162972472997;-0.001556203239902713;-0.7463448740834906
10.42317429393305;-0.01838934498090601;-0.001474703038173393;-0.7530630008097887
10.49542428652323;-0.01799451922659079;-0.00175239156961616;-0.7575885618777911
10.5681750921366;-0.01828677997247747;-0.001531348853746006;-0.7638043556898708
10.64143018224317;-0.01843070529754574;-0.001650320096907233;-0.7684097790902626
10.71519305237607;-0.01811031395294808;-0.001921684219591922;-0.7737243123166877
10.7894672222983;-0.01847678360725765;-0.001784518364962861;-0.778181291240017
10.86425623617067;-0.01795683665028008;-0.001887584001695568;-0.7855007908542859
10.93956366272095;-0.0182813788247949;-0.001788566027671732;-0.7894921454382313
11.01539309541416;-0.01837262577180234;-0.001746975941052491;-0.7950692293862538
11.09174815262402;-0.01822180039645492;-0.002147889719803462;-0.8001095926340867
11.16863247780562;-0.01807446957546495;-0.001857801755114106;-0.8067050228266055
11.24604973966928;-0.01824041417995934;-0.001917794753253067;-0.81156662425518
11.32400363235558;-0.01814334414611266;-0.001993127461199701;-0.8189301382576275
11.4024978756117;-0.01804411918349749;-0.002024204112389;-0.8224360481447945
11.48153621496884;-0.01800872689953293;-0.002203263104199599;-0.8281905051176324
11.56112242192101;-0.01798543394503549;-0.002234833454291271;-0.8341189733782741
11.64126029410492;-0.01799697441903316;-0.002194262860006993;-0.8399693487526179
11.72195365548131;-0.01810480291156487;-0.001976424400230755;-0.8466640466356807
11.80320635651731;-0.01790534264027522;-0.002220522726053927;-0.8523148059070493
11.8850222743702;-0.01795925699586564;-0.002249352908272034;-0.8578366268569226
11.96740531307244;-0.01821813985905392;-0.002069575681429472;-0.8635879060120146
12.05035940371799;-0.01809561094124498;-0.002001219527841421;-0.8691570676681017
12.13388850464979;-0.01823826538902784;-0.002258484750561159;-0.8769939283099291
12.21799660164874;-0.01824612328599518;-0.002316910720114508;-0.8811385848365916
12.30268770812382;-0.01846945119895263;-0.002080945957349786;-0.8883405166108957
12.3879658653037;-0.01825211178714491;-0.002431787373976604;-0.893906996773552
12.47383514242945;-0.01806818072959284;-0.00258917959190938;-0.8999934022450873
12.56029963694877;-0.01832770975541961;-0.002282528926202127;-0.906068755154223
12.64736347471152;-0.01833286735163708;-0.002316578527859407;-0.9123622374497842
12.73503081016663;-0.01813492034351816;-0.002409654239115754;-0.9189232812436217
12.82330582656023;-0.01836166479893226;-0.002096871346645915;-0.9244664155921143
12.91219273613536;-0.01810498925833745;-0.002195310292905748;-0.9316069145148731
13.00169578033291;-0.01822660971927162;-0.002398191523607012;-0.9387006336209538
13.09181922999408;-0.01835424415882903;-0.002447357892572966;-0.9444231667657021
13.18256738556409;-0.01840791331371812;-0.002400056778341383;-0.9518684667674364
13.27394457729741;-0.01792149198547401;-0.002785945462197947;-0.9584533080097515
13.36595516546443;-0.01806933674334751;-0.00265302578358639;-0.9640267579760575
13.4586035405595;-0.01820007470013894;-0.002528910685314669;-0.9713631160378355
13.55189412351038;-0.01793587417961926;-0.002662558305367345;-0.9783485725668299
13.64583136588927;-0.01837024264675321;-0.002264276395185881;-0.9838497763798699
13.74041975012516;-0.01819665834591776;-0.002738550501075244;-0.991115989087838
13.83566378971783;-0.01806467941123445;-0.002772735027770614;-0.998350492114298
13.93156802945305;-0.01814268671377927;-0.002414071628152649;-1.005641255088932
14.0281370456196;-0.01811050394023776;-0.002751084115425229;-1.01225658718861
14.12537544622755;-0.01841633349352001;-0.002742811540415115;-1.018723593804978
14.22328787122821;-0.01790371188228616;-0.002936139180563403;-1.02627105144397
14.32187899273545;-0.01820948578370959;-0.002939463393748652;-1.033276115456594
14.42115351524871;-0.0182232435229551;-0.00284705079440121;-1.04147624521076
14.52111617587743;-0.01835636149861668;-0.002588664671875498;-1.048311954009577
14.6217717445672;-0.01852592546225401;-0.002586707713009443;-1.053681092448066
14.72312502432721;-0.01832600139325893;-0.002809202471348189;-1.062913621025629
14.82518085145956;-0.01820366601728831;-0.002923522851876373;-1.069472357650682
14.92794409578998;-0.01812148733172603;-0.002795640221633052;-1.07695231820145
15.03141966090022;-0.01824617817846621;-0.002942359311607746;-1.083572802216295
15.1356124843621;-0.01831989361174957;-0.002816526782546637;-1.092770675260297
15.24052753797292;-0.01820526303546924;-0.002942332411669111;-1.099293208465028
15.34616982799296;-0.0183583089045891;-0.002934880405777334;-1.106693974216782
15.45254439538414;-0.0182001416549864;-0.003083005192308986;-1.116660454065355
15.55965631605077;-0.01822991793711349;-0.002954359323984608;-1.123154814070915
15.6675107010815;-0.01838965300408333;-0.002988601629102889;-1.129614270256656
15.7761126969935;-0.01824383154534971;-0.00338651817636823;-1.138621612107698
15.88546748597779;-0.01839364783685364;-0.003226163701964493;-1.145708525909413
15.99558028614671;-0.01840214110746793;-0.003076303786635418;-1.154664351863325
16.10645635178271;-0.01808625528360294;-0.003332853070688476;-1.163005358994695
16.21810097358932;-0.01813673900661372;-0.003309574985426608;-1.170015416722762
16.33051947894334;-0.01820223764265616;-0.003679158975605291;-1.178224877255516
16.44371723214933;-0.01826378905169692;-0.003377055198481437;-1.185738545548531
